freq (MHz);s11 (dB);real Z_in (Ohm); imag Z_in (Ohm)
2456;-19.71370948653458;48.5510323253408;10.13603107670215
2460;-18.93385871639445;48.15753077414094;11.01424706476594
2464;-18.21931011096046;47.77625457409369;11.88447334872924
2468;-17.56137758810974;47.40688318918112;12.74683300370219
2472;-16.95285324310617;47.04910815025085;13.60144575077441
2476;-16.38773912297576;46.70263236405959;14.44842793863521
2480;-15.86101764483705;46.36716945290771;15.28789254599895
2484;-15.36846434249919;46.0424431240949;16.11994920364715
2488;-14.90649814987827;45.72818656852005;16.94470423495867
2492;-14.47206253276612;45.42414188783273;17.7622607138518
2496;-14.06253115995469;45.130059549625;18.57271853909676
2500;-13.67563282681703;44.84569787022682;19.37617452398063
2504;-13.309391414817;44.57082252473673;20.17272250032101
2508;-12.9620775986467;44.30520608397932;20.96245343582505
2512;-12.63216976090339;44.04862757813467;21.74545556378569
2516;-12.31832215750265;43.80087208682907;22.52181452409005
2520;-12.01933882468934;43.56173035550879;23.29161351449023
2524;-11.73415205988035;43.33099843794672;24.05493345105998
2528;-11.46180456854881;43.10847736474322;24.81185313672297
2532;-11.20143456767523;42.89397283768742;25.56244943670124
2536;-10.9522632880981;42.68729494983705;26.30679745968694
2540;-10.71358443482453;42.48825793115604;27.04497074350351
2544;-10.48475525458712;42.296679919518;27.77704144397109
2548;-10.26518893005024;42.11238275684278;28.50308052565465
2552;-10.05434807487281;41.93519181007724;29.2231579531323
2556;-9.851739146911804;41.76493581667175;29.93734288138676
2560;-9.656907630901879;41.60144675412302;30.64570384389304
2564;-9.46943386901274;41.44455973307529;31.34830893695519
2568;-9.288929439316005;41.29411291337458;32.04522599883244
2572;-9.115033999571038;41.14994744237033;32.73652278219082
2576;-8.947412527771966;41.01190741465286;33.42226711842485
2580;-8.785752902283242;40.87983985229909;34.10252707241765
2584;-8.629763773676542;40.75359470458468;34.77737108633641
2588;-8.479172687984667;40.63302486600112;35.44686811111465
2592;-8.333724427345468;40.51798621129684;36.11108772432797
2596;-8.193179539176764;40.40833764614615;36.77010023325484
2600;-8.057313029313173;40.30394117193456;37.42397676199965
2604;-7.925913198107554;40.20466196304113;38.07278932166582
2608;-7.798780601488218;40.1103684549014;38.71661086268728
2612;-7.675727121470697;40.02093244103703;39.35551530856022
2616;-7.556575132737392;39.93622917716809;39.98957757036597
2620;-7.441156753685282;39.85613749044867;40.6188735416325
2624;-7.329313171859861;39.78053989182116;41.24348007325302
2628;-7.220894034986261;39.70932268944637;41.86347492835551
2632;-7.115756899914136;39.64237610114844;42.47893671720111
2636;-7.013766732742014;39.57959436381553;43.08994481237661
2640;-6.914795454203625;39.5208758377135;43.69657924473793
2644;-6.818721525106245;39.46612310371001;44.29892058075022
2648;-6.72542956722412;39.41524305146409;44.89704978205945
2652;-6.634810015584787;39.3681469567135;45.49104804831475
2656;-6.54675879855337;39.32475054588644;46.08099664443741
2660;-6.46117704253111;39.28497404638132;46.66697671370103
2664;-6.377970798445654;39.24874222098707;47.24906907814611
2668;-6.29705078753133;39.21598438506621;47.82735402799819
2672;-6.218332164182181;39.18663440528136;48.40191110188648
2676;-6.14173429391374;39.16063067882526;48.97281885978095
2680;-6.067180544697014;39.13791609229536;49.54015465065665
2684;-5.994598090131086;39.11843795955361;50.10399437698168
2688;-5.923917723104442;39.10214793811136;50.66441225817957
2692;-5.855073678759934;39.08900192378834;51.22148059526256
2696;-5.788003465728045;39.07895992360707;51.77526953885262
2700;-5.722647704727819;39.07198590709213;52.32584686280771
2704;-5.658949973757743;39.06804763636224;52.87327774565514
2708;-5.596856659209432;39.06711647560396;53.41762456199329
2712;-5.536316812337755;39.06916718072884;53.95894668596959
2716;-5.477282010611919;39.07417767020775;54.49730030886462
2720;-5.419706223554143;39.08212877827305;55.03273827272314
2724;-5.363545682746771;39.09300399185824;55.56530992186064
2728;-5.308758755754948;39.10678917281889;56.09506097395135
2732;-5.255305823771607;39.1234722671393;56.62203341226278
2736;-5.203149162843981;39.14304300297822;57.14626540045148
2740;-5.152252828588033;39.16549257954331;57.66779122116395
2744;-5.102582544337242;39.19081334890456;58.18664123951606
2748;-5.054105592708172;39.21899849296423;58.70284189233049
2752;-5.006790710594932;39.25004169789423;59.21641570382017
2756;-4.960607987630116;39.28393682842275;59.72738132819596
2760;-4.915528768170574;39.32067760441739;60.23575361946904
2764;-4.871525556882904;39.36025728224658;60.74154372849506
2768;-4.828571928015974;39.40266834343149;61.24475922708816
2772;-4.786642438456661;39.44790219310042;61.74540425880229
2776;-4.745712544670524;39.49594887075031;62.24347971574849
2780;-4.705758523631015;39.54679677578162;62.73898344058448
2784;-4.666757397840357;39.60043241022477;63.23191045258096
2788;-4.628686864541381;39.65684014100109;63.72225319643999
2792;-4.591525229214223;39.71600198396871;64.21000181230895
2796;-4.555251343442865;39.77789741188771;64.69514442521428
2800;-4.519844547226705;39.84250318830507;65.17766745192122
2804;-4.485284615799973;39.90979322919755;65.65755592301329
2808;-4.451551711008031;39.97973849403686;66.13479381779312
2812;-4.418626337274436;40.05230690773593;66.6093644094136
2816;-4.386489302175683;40.1274633147167;67.08125061748363
2820;-4.355121681623281;40.2051694660936;67.55043536523235
2824;-4.324504789633794;40.28538404071441;68.01690193819014
2828;-4.294620152648142;40.36806270050944;68.48063434122297
2832;-4.265449488341221;40.45315818031717;68.94161765068048
2836;-4.2369746888423;40.54062041203566;69.39983835834951
2840;-4.209177808265812;40.63039668263518;69.8552847038797
2844;-4.182041054430798;40.72243182523503;70.30794699234811
2848;-4.155546784626464;40.81666844211144;70.75781789365924
2852;-4.129677505259937;40.91304715816757;71.20489272055265
2856;-4.104415875201884;41.01150690305956;71.64916968208934
2860;-4.079744712625559;41.11198521984219;72.09065010962989
2864;-4.055647005115014;41.21441859767313;72.52933865249389
2868;-4.032105922799868;41.31874282581241;72.96524344070518
2872;-4.00910483425618;41.42489336585933;73.39837621247213
2876;-3.986627324896562;41.53280573890295;73.82875240433646
2880;-3.964657217557638;41.64241592402142;74.2563912022347
2884;-3.943178594979564;41.75366076435854;74.68131555206274
2888;-3.922175823860119;41.86647837681982;75.10355212869662
2892;-3.901633580156967;41.98080856130431;75.52313126281477
2896;-3.881536875302776;42.09659320527939;75.94008682527877
2900;-3.861871082993429;42.21377667945341;76.35445606924193
2904;-3.842621966205763;42.33230622029131;76.76627943059547
2908;-3.823775704101036;42.45213229514849;77.17560028778625
2912;-3.805318918471971;42.57320894587875;77.58246468247934
2916;-3.78723869939609;42.69549410689745;77.9869210029571
2920;-3.769522629765411;42.81894989385506;78.38901963256659
2924;-3.752158808372559;42.94354285928095;78.78881256591468
2928;-3.735135871246162;43.06924421182137;79.18635299589255
2932;-3.718443010944301;43.19602999598571;79.58169487495334
2936;-3.702069993532338;43.32388122963894;79.9748924543856
2940;-3.686007172992734;43.45278399684862;80.3659998056102
2944;-3.67024550283709;43.58272949407709;80.75507032777608
2948;-3.654776544716028;43.71371402811861;81.14215624613132
2952;-3.639592473849935;43.84573896462413;81.52730810582077
2956;-3.624686081132185;43.97881062648852;81.91057426587948
2960;-3.610050771787514;44.11294014184126;82.29200039826985
2964;-3.595680560499529;44.24814324184188;82.6716289968528
2968;-3.581570062954232;44.38444000893995;83.04949890116715
