freq (MHz);s11 (dB);real Z_in (Ohm); imag Z_in (Ohm)
2888;-2.814761935658545;37.32208522911632;89.57901739803539
2892;-2.731673419576719;36.89740958066803;90.85763287433458
2896;-2.657046375459572;36.59301709540421;92.16311356482409
2900;-2.59131845024735;36.41046228431184;93.48115155025616
2904;-2.534738629460547;36.34987394624938;94.79684396916359
2908;-2.487379766379322;36.40967893340675;96.09477258194451
2912;-2.449149947582104;36.58630773959179;97.35917802981515
2916;-2.419802692174615;36.87390891037607;98.5742420377731
2920;-2.39894620707076;37.2641062186674;99.72448396652209
2924;-2.386052097174681;37.74583796639006;100.7952677507965
2928;-2.380464065691911;38.30531989177545;101.7734015819764
2932;-2.381407239607014;38.92617011932271;102.6477968145803
2936;-2.387998816722411;39.58972491118257;103.4101366544375
2940;-2.399260746469067;40.27555718412516;104.0554922837894
2944;-2.414135115760083;40.96218691906522;104.5828176561946
2948;-2.431502800213933;41.62794660399121;104.9952572454182
2952;-2.450205748150733;42.25194016672504;105.3002150542726
2956;-2.469072983591497;42.81501559437431;105.509157341842
2960;-2.48695004964335;43.30066405305814;105.637152377889
2964;-2.502731185348972;43.69576420845251;105.70218262812
2968;-2.515393076064769;43.99110904698762;105.7242919680633
2972;-2.524028596140245;44.18168029736017;105.7246476469966
2976;-2.527878641129065;44.26666703104183;105.7246009864174
2980;-2.52635999305298;44.24925419680922;105.7448224160154
2984;-2.519087229105597;44.13622884927914;105.80456831645
2988;-2.505886993553965;43.93746396664144;105.9211137456775
2992;-2.486803484936289;43.66534175839875;106.109361215436
2996;-2.46209470359466;43.33417196575436;106.3816151017183
3000;-2.43221976275634;42.95964869969716;106.747496332093
3004;-2.397818280642459;42.55837489337594;107.213963404113
3008;-2.359683441802425;42.14746902935378;107.7854029990017
3012;-2.318730673397469;41.74425616510301;108.4637551715395
3016;-2.275963998701068;41.36603526940156;109.2486428031765
3020;-2.232442020432927;41.02990763209822;110.1374813368099
3024;-2.189245198877157;40.75264629514206;111.1255517676872
3028;-2.147445690670952;40.55058354712039;112.2060268714594
3032;-2.108080572996918;40.43949200933347;113.3699475221569
3036;-2.072128854195227;40.43443436224395;114.606152798537
3040;-2.04049230810345;40.54955721998905;115.9011746775247
3044;-2.013979889556008;40.79780627612245;117.239115782975
3048;-1.993295299766668;41.19054316886521;118.6015370896063
3052;-1.979027168063296;41.73705040765835;119.9673915669677
3056;-1.97164128888967;42.44392022728705;121.3130488714501
3060;-1.971474385682665;43.31433743997287;122.6124640263086
3064;-1.978728952195743;44.34728589894247;123.8375473756776
3068;-1.993468835394048;45.53673278820364;124.9587909132541
3072;-2.015615363466736;46.87087271991011;125.9461938096221
3076;-2.044943981726219;48.33154043434096;126.7705043330807
3080;-2.081081533798351;49.89392019222696;127.404754770913
3084;-2.123504511315192;51.52668332973693;127.826012182204
3088;-2.171538786336444;53.1926645313746;128.0172075427052
3092;-2.224361527133878;54.85013687201581;127.9688511506783
3096;-2.281006164055674;56.45466697623947;127.6804088887549
3100;-2.340371394688477;57.96143540787909;127.1611175392866
3104;-2.401235265223119;59.32781329507209;126.4300669908116
3108;-2.462275300243277;60.51591852221764;125.5154702407482
3112;-2.522095436971938;61.49485478751373;124.4531621266473
3116;-2.579260120296969;62.24237426303578;123.284487736366
3120;-2.632335319029495;62.74579308825742;122.0538323122515
3124;-2.679935452750779;63.00210715854364;120.8060848515246
3128;-2.720774338701922;63.01737472481976;119.5843111306506
3132;-2.753717395348655;62.80552562964813;118.4278481755348
3136;-2.777831628806578;62.3868084009428;117.3709419248037
3140;-2.792429547771718;61.7860932281732;116.4419565511607
3144;-2.79710324031221;61.0312197045957;115.6631066353118
3148;-2.79174546594315;60.15152779292887;115.0506125256055
3152;-2.776555726025195;59.17665380095144;114.6151563374772
3156;-2.752030720123614;58.13562175709167;114.3625163791105
3160;-2.718940138845502;57.05622094186161;114.2942735995683
3164;-2.678290123304436;55.96463433110917;114.4085071218164
3168;-2.631277717333447;54.88526901779127;114.7004208672028
3172;-2.579240123255495;53.84073536538192;115.1628657667416
3176;-2.523602531563808;52.85192341819673;115.7867402303441
3180;-2.465827816121259;51.93813007544382;116.5612650925382
3184;-2.407370619614981;51.11719660348559;117.4741388065184
3188;-2.349637466957061;50.40562189826183;118.5115853103322
3192;-2.293953684371607;49.81862191675766;119.6583119501479
3196;-2.241537172858665;49.37010985578777;120.8973992332644
